backbone,config,budget,rep,method,C,auroc_light,sens_light,spec_light,auroc_mid,sens_mid,spec_mid,auroc_dark,sens_dark,spec_dark,gap_auroc
resnet50_frozen,std_tunedC,25,8,simple,0.01,0.49765625,0.0,0.984375,0.5810945273631841,0.03333333333333333,1.0,0.5633223684210527,0.05263157894736842,1.0,-0.06566611842105263
resnet50_frozen,std_tunedC,25,8,fair,0.1,0.50625,0.0,0.984375,0.581094527363184,0.03333333333333333,1.0,0.5773026315789473,0.05263157894736842,1.0,-0.07105263157894737
resnet50_frozen,std_tunedC,25,8,smote,0.1,0.46640625,0.0,1.0,0.5507462686567164,0.03333333333333333,1.0,0.5542763157894737,0.05263157894736842,1.0,-0.08787006578947365
resnet50_frozen,std_tunedC,25,8,smote_shuf,1.0,0.46171875000000007,0.0,1.0,0.563681592039801,0.03333333333333333,1.0,0.5279605263157895,0.05263157894736842,1.0,-0.06624177631578942
resnet50_frozen,std_tunedC,25,8,smote_light,0.1,0.42890625,0.0,1.0,0.5467661691542288,0.03333333333333333,1.0,0.5230263157894737,0.05263157894736842,1.0,-0.09412006578947368
resnet50_frozen,std_tunedC,25,8,smote_allmal,10.0,0.45234375000000004,0.0,1.0,0.5492537313432836,0.03333333333333333,1.0,0.5213815789473684,0.05263157894736842,1.0,-0.06903782894736832
resnet50_frozen,std_tunedC,25,8,src_demo,0.1,0.4984375,0.05,1.0,0.6990049751243781,0.0,1.0,0.6175986842105262,0.05263157894736842,0.984375,-0.11916118421052624
resnet50_frozen,std_tunedC,25,8,src_cond,1.0,0.46249999999999997,0.0,1.0,0.5855721393034826,0.03333333333333333,1.0,0.6957236842105263,0.10526315789473684,1.0,-0.23322368421052636
resnet50_frozen,std_tunedC,25,8,src_cond_dark,0.1,0.50703125,0.05,1.0,0.6875621890547264,0.0,1.0,0.6299342105263157,0.05263157894736842,0.984375,-0.12290296052631566
resnet50_frozen,std_tunedC,25,8,src_cond_shuf,0.1,0.5125,0.0,1.0,0.6716417910447762,0.0,1.0,0.649671052631579,0.05263157894736842,1.0,-0.13717105263157903
resnet50_frozen,std_tunedC,25,9,simple,0.01,0.46953124999999996,0.15,0.84375,0.5646766169154229,0.13333333333333333,0.9253731343283582,0.43338815789473684,0.21052631578947367,0.8125,0.03614309210526312
resnet50_frozen,std_tunedC,25,9,fair,0.01,0.4765625,0.15,0.84375,0.5786069651741294,0.13333333333333333,0.9104477611940298,0.421875,0.21052631578947367,0.796875,0.0546875
resnet50_frozen,std_tunedC,25,9,smote,0.01,0.42734374999999997,0.05,0.875,0.4980099502487562,0.13333333333333333,0.9253731343283582,0.4465460526315789,0.15789473684210525,0.875,-0.01920230263157896
resnet50_frozen,std_tunedC,25,9,smote_shuf,0.01,0.396875,0.05,0.890625,0.45970149253731346,0.06666666666666667,0.9552238805970149,0.4449013157894737,0.10526315789473684,0.90625,-0.048026315789473695
resnet50_frozen,std_tunedC,25,9,smote_light,0.01,0.39765625,0.05,0.890625,0.4666666666666667,0.1,0.9552238805970149,0.4506578947368421,0.10526315789473684,0.90625,-0.0530016447368421
resnet50_frozen,std_tunedC,25,9,smote_allmal,10.0,0.42109375000000004,0.05,0.9375,0.5022388059701492,0.1,0.9552238805970149,0.4157072368421052,0.10526315789473684,0.90625,0.0053865131578948455
resnet50_frozen,std_tunedC,25,9,src_demo,0.1,0.5328125,0.05,1.0,0.5975124378109453,0.0,1.0,0.475328947368421,0.0,0.9375,0.057483552631579005
resnet50_frozen,std_tunedC,25,9,src_cond,0.1,0.559375,0.0,1.0,0.6034825870646766,0.0,1.0,0.5773026315789473,0.0,1.0,-0.01792763157894739
resnet50_frozen,std_tunedC,25,9,src_cond_dark,0.1,0.5335937500000001,0.05,1.0,0.5985074626865672,0.0,1.0,0.4983552631578947,0.0,0.984375,0.0352384868421054
resnet50_frozen,std_tunedC,25,9,src_cond_shuf,0.1,0.5484375,0.0,1.0,0.5890547263681591,0.0,1.0,0.5723684210526316,0.0,0.984375,-0.023930921052631615
resnet50_frozen,std_tunedC,25,10,simple,0.01,0.6832031249999999,0.1,0.921875,0.7482587064676618,0.23333333333333334,0.9402985074626866,0.6726973684210527,0.42105263157894735,0.796875,0.010505756578947256
resnet50_frozen,std_tunedC,25,10,fair,0.01,0.687890625,0.15,0.890625,0.7582089552238807,0.26666666666666666,0.9402985074626866,0.6702302631578947,0.42105263157894735,0.734375,0.017660361842105288
resnet50_frozen,std_tunedC,25,10,smote,0.01,0.644921875,0.1,0.9375,0.7542288557213931,0.2,0.9701492537313433,0.6924342105263157,0.3684210526315789,0.8125,-0.04751233552631573
resnet50_frozen,std_tunedC,25,10,smote_shuf,0.01,0.640234375,0.1,0.921875,0.718905472636816,0.16666666666666666,0.9552238805970149,0.6546052631578947,0.3157894736842105,0.796875,-0.014370888157894668
resnet50_frozen,std_tunedC,25,10,smote_light,0.01,0.60234375,0.05,0.9375,0.6835820895522389,0.16666666666666666,0.9552238805970149,0.6644736842105263,0.2631578947368421,0.84375,-0.06212993421052637
resnet50_frozen,std_tunedC,25,10,smote_allmal,1.0,0.591796875,0.05,0.953125,0.7044776119402986,0.1,0.9850746268656716,0.6702302631578947,0.21052631578947367,0.90625,-0.07843338815789469
resnet50_frozen,std_tunedC,25,10,src_demo,0.1,0.5375000000000001,0.1,1.0,0.7154228855721394,0.0,1.0,0.6537828947368419,0.10526315789473684,0.984375,-0.11628289473684184
resnet50_frozen,std_tunedC,25,10,src_cond,0.1,0.62265625,0.05,1.0,0.7208955223880597,0.0,1.0,0.6751644736842105,0.05263157894736842,0.984375,-0.05250822368421049
