backbone,config,budget,rep,method,C,n_adapt,n_train,auroc_light,sens_light,auroc_mid,sens_mid,auroc_dark,sens_dark,gap_auroc,gap_sens,cert_lb_dark,cert_true_dark,cert_cov_dark,cert_n_dark,cert_lb_light,cert_true_light,cert_cov_light,cert_n_light,cert_lb_mid,cert_true_mid,cert_cov_mid,cert_n_mid
resnet50_frozen,std_tunedC,25,7,groupdro,0.01,25,17,0.48593749999999997,0.15,0.4880597014925373,0.06666666666666667,0.46628289473684204,0.05263157894736842,0.01965460526315793,0.09736842105263158,,,,,0.3425916819988613,0.75,1.0,5.0,,,,
resnet50_frozen,std_tunedC,25,7,smote,0.01,25,17,0.48203124999999997,0.15,0.48855721393034823,0.06666666666666667,0.4375,0.05263157894736842,0.04453124999999997,0.09736842105263158,,,,,0.3425916819988613,0.75,1.0,5.0,,,,
resnet50_frozen,std_tunedC,25,7,src_aug,0.01,25,17,0.6304687499999999,0.35,0.6432835820895522,0.36666666666666664,0.5649671052631579,0.47368421052631576,0.06550164473684206,-0.12368421052631579,,,,,0.1892553774377708,0.6547619047619048,1.0,5.0,,,,
resnet50_frozen,std_tunedC,25,7,src_aug_matched,0.01,25,17,0.64765625,0.4,0.6492537313432836,0.23333333333333334,0.6554276315789473,0.3157894736842105,-0.007771381578947301,0.08421052631578951,,,,,0.1892553774377708,0.7619047619047619,1.0,5.0,,,,
resnet50_frozen,std_tunedC,25,7,src_aug_down,0.1,25,17,0.64765625,0.1,0.6621890547263681,0.0,0.703125,0.10526315789473684,-0.055468749999999956,-0.005263157894736831,,,,,0.3425916819988613,0.7738095238095238,1.0,5.0,,,,
resnet50_frozen,std_tunedC,25,8,source,0.01,25,17,0.46406249999999993,0.55,0.5756218905472636,0.6,0.6620065789473684,0.631578947368421,-0.19794407894736843,-0.08157894736842097,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,8,simple,0.01,25,17,0.63984375,0.3,0.6706467661691543,0.36666666666666664,0.606907894736842,0.5263157894736842,0.03293585526315801,-0.2263157894736842,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,8,fair,0.01,25,17,0.6421874999999999,0.3,0.6796019900497512,0.36666666666666664,0.6110197368421053,0.5263157894736842,0.0311677631578946,-0.2263157894736842,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,8,fair_legacy,0.01,25,17,0.6421874999999999,0.3,0.6796019900497512,0.36666666666666664,0.6110197368421053,0.5263157894736842,0.0311677631578946,-0.2263157894736842,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,8,fair_shuffled,0.01,25,17,0.62109375,0.3,0.6800995024875621,0.4,0.5974506578947368,0.5263157894736842,0.023643092105263164,-0.2263157894736842,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,8,groupdro,0.01,25,17,0.6421875,0.3,0.6748756218905472,0.3333333333333333,0.6044407894736843,0.5263157894736842,0.03774671052631573,-0.2263157894736842,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,8,smote,0.01,25,17,0.59453125,0.3,0.6880597014925374,0.3333333333333333,0.6019736842105263,0.47368421052631576,-0.007442434210526372,-0.17368421052631577,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,8,src_aug,0.01,25,17,0.4765625,0.2,0.681592039800995,0.23333333333333334,0.59375,0.3157894736842105,-0.1171875,-0.1157894736842105,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,8,src_aug_matched,0.01,25,17,0.4859375,0.15,0.673134328358209,0.16666666666666666,0.5896381578947367,0.21052631578947367,-0.1037006578947367,-0.06052631578947368,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,8,src_aug_down,0.1,25,17,0.5406249999999999,0.0,0.6975124378109453,0.0,0.6307565789473684,0.05263157894736842,-0.09013157894736845,-0.05263157894736842,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,9,source,0.01,25,17,0.46484375,0.7,0.5786069651741295,0.8333333333333334,0.6307565789473685,0.7894736842105263,-0.16591282894736847,-0.08947368421052637,,,,,0.1892553774377708,0.38095238095238093,1.0,5.0,,,,
resnet50_frozen,std_tunedC,25,9,simple,0.01,25,17,0.39765625000000004,0.2,0.5181592039800995,0.26666666666666666,0.5801809210526315,0.5263157894736842,-0.18252467105263148,-0.32631578947368417,,,,,0.1892553774377708,0.6428571428571429,1.0,5.0,,,,
resnet50_frozen,std_tunedC,25,9,fair,0.01,25,17,0.39921875,0.2,0.5094527363184079,0.3,0.5707236842105262,0.6842105263157895,-0.1715049342105262,-0.4842105263157895,,,,,0.1892553774377708,0.6309523809523809,1.0,5.0,,,,
resnet50_frozen,std_tunedC,25,9,fair_legacy,0.01,25,17,0.39687500000000003,0.2,0.5074626865671641,0.26666666666666666,0.5707236842105262,0.631578947368421,-0.17384868421052618,-0.431578947368421,,,,,0.1892553774377708,0.6309523809523809,1.0,5.0,,,,
resnet50_frozen,std_tunedC,25,9,fair_shuffled,0.01,25,17,0.41328125000000004,0.2,0.5129353233830846,0.3,0.5625,0.6842105263157895,-0.14921874999999996,-0.4842105263157895,,,,,0.1892553774377708,0.6309523809523809,1.0,5.0,,,,
resnet50_frozen,std_tunedC,25,9,groupdro,0.01,25,17,0.40312499999999996,0.2,0.5166666666666667,0.26666666666666666,0.5719572368421053,0.5789473684210527,-0.16883223684210535,-0.37894736842105264,,,,,0.1892553774377708,0.6428571428571429,1.0,5.0,,,,
resnet50_frozen,std_tunedC,25,9,smote,0.01,25,17,0.39765625000000004,0.2,0.5181592039800995,0.26666666666666666,0.5801809210526315,0.5263157894736842,-0.18252467105263148,-0.32631578947368417,,,,,0.1892553774377708,0.6428571428571429,1.0,5.0,,,,
resnet50_frozen,std_tunedC,25,9,src_aug,0.01,25,17,0.51015625,0.2,0.573134328358209,0.2,0.5148026315789473,0.2631578947368421,-0.004646381578947367,-0.06315789473684208,,,,,0.3425916819988613,0.6785714285714286,1.0,5.0,,,,
resnet50_frozen,std_tunedC,25,9,src_aug_matched,0.01,25,17,0.48984374999999997,0.1,0.5875621890547263,0.1,0.5238486842105263,0.10526315789473684,-0.03400493421052636,-0.005263157894736831,,,,,0.1892553774377708,0.7738095238095238,1.0,5.0,,,,
resnet50_frozen,std_tunedC,25,9,src_aug_down,0.1,25,17,0.5234375,0.05,0.6054726368159205,0.0,0.53125,0.0,-0.0078125,0.05,,,,,0.1892553774377708,0.7738095238095238,1.0,5.0,,,,
resnet50_frozen,std_tunedC,25,10,source,0.01,25,17,0.56953125,0.8,0.6522388059701493,0.9333333333333333,0.6800986842105263,0.8947368421052632,-0.11056743421052628,-0.09473684210526312,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,10,simple,0.01,25,17,0.61640625,0.2,0.6258706467661691,0.2,0.7002467105263157,0.3684210526315789,-0.08384046052631566,-0.16842105263157892,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,10,fair,0.01,25,17,0.622265625,0.25,0.6398009950248756,0.2,0.6990131578947368,0.42105263157894735,-0.07674753289473679,-0.17105263157894735,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,10,fair_legacy,0.01,25,17,0.622265625,0.25,0.6393034825870647,0.2,0.6969572368421053,0.42105263157894735,-0.07469161184210527,-0.17105263157894735,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,10,fair_shuffled,0.01,25,17,0.624609375,0.25,0.6333333333333333,0.2,0.6957236842105263,0.42105263157894735,-0.0711143092105263,-0.17105263157894735,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,10,groupdro,0.01,25,17,0.61640625,0.2,0.6194029850746268,0.2,0.7002467105263157,0.3684210526315789,-0.08384046052631566,-0.16842105263157892,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,10,smote,0.01,25,17,0.61640625,0.2,0.6258706467661691,0.2,0.7002467105263157,0.3684210526315789,-0.08384046052631566,-0.16842105263157892,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,10,src_aug,0.01,25,17,0.47578125000000004,0.3,0.7179104477611941,0.13333333333333333,0.6447368421052632,0.3157894736842105,-0.16895559210526312,-0.01578947368421052,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,10,src_aug_matched,0.01,25,17,0.44296875,0.15,0.7323383084577115,0.03333333333333333,0.6636513157894737,0.2631578947368421,-0.22068256578947365,-0.1131578947368421,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,10,src_aug_down,0.1,25,17,0.46796875,0.05,0.6965174129353233,0.0,0.6620065789473684,0.10526315789473684,-0.19403782894736837,-0.055263157894736833,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,11,source,0.01,25,17,0.48750000000000004,0.9,0.5990049751243781,0.9,0.647203947368421,0.8421052631578947,-0.15970394736842097,0.05789473684210533,,,,,0.0,0.2976190476190476,1.0,6.0,,,,
resnet50_frozen,std_tunedC,25,11,simple,0.01,25,17,0.60078125,0.0,0.6726368159203979,0.06666666666666667,0.6455592105263158,0.21052631578947367,-0.044777960526315774,-0.21052631578947367,,,,,0.4181965907479741,0.7380952380952381,1.0,6.0,,,,
resnet50_frozen,std_tunedC,25,11,fair,0.1,25,17,0.5734375,0.0,0.6684079601990051,0.06666666666666667,0.6167763157894737,0.21052631578947367,-0.04333881578947363,-0.21052631578947367,,,,,0.4181965907479741,0.7380952380952381,1.0,6.0,,,,
resnet50_frozen,std_tunedC,25,11,fair_legacy,0.1,25,17,0.5734375,0.0,0.6684079601990051,0.06666666666666667,0.6167763157894737,0.21052631578947367,-0.04333881578947363,-0.21052631578947367,,,,,0.4181965907479741,0.7380952380952381,1.0,6.0,,,,
resnet50_frozen,std_tunedC,25,11,fair_shuffled,0.1,25,17,0.5953124999999999,0.0,0.682587064676617,0.06666666666666667,0.6447368421052632,0.21052631578947367,-0.04942434210526325,-0.21052631578947367,,,,,0.4181965907479741,0.7380952380952381,1.0,6.0,,,,
resnet50_frozen,std_tunedC,25,11,groupdro,0.01,25,17,0.5890625,0.0,0.6691542288557214,0.06666666666666667,0.6208881578947368,0.21052631578947367,-0.03182565789473679,-0.21052631578947367,,,,,0.4181965907479741,0.7380952380952381,1.0,6.0,,,,
