backbone,rep,method,kind,skin,dgroup,n_pos,sens,auroc_vs_benign,subset,n,auroc
resnet50_frozen,3,fair,stratum,dark,MEL,3,0.0,0.5729166666666666,,,
resnet50_frozen,3,fair,stratum,dark,LYM,11,0.45454545454545453,0.8252840909090908,,,
resnet50_frozen,3,fair,stratum,dark,OTH,2,0.0,0.71875,,,
resnet50_frozen,3,fair,overall,light,,20,0.25,,all,84.0,0.73828125
resnet50_frozen,3,fair,overall,mid,,30,0.06666666666666667,,all,97.0,0.6805970149253731
resnet50_frozen,3,fair,overall,dark,,19,0.3157894736842105,,all,83.0,0.7286184210526316
resnet50_frozen,3,fair,overall,light,,18,0.2777777777777778,,noLYM,82.0,0.7265625
resnet50_frozen,3,fair,overall,mid,,29,0.06896551724137931,,noLYM,96.0,0.6793618116314978
resnet50_frozen,3,fair,overall,dark,,8,0.125,,noLYM,72.0,0.595703125
resnet50_frozen,4,source,stratum,light,KC,13,0.6153846153846154,0.43990384615384615,,,
resnet50_frozen,4,source,stratum,light,MEL,5,0.6,0.421875,,,
resnet50_frozen,4,source,stratum,light,LYM,1,1.0,0.703125,,,
resnet50_frozen,4,source,stratum,light,OTH,1,1.0,0.703125,,,
resnet50_frozen,4,source,stratum,mid,KC,25,0.68,0.5850746268656717,,,
resnet50_frozen,4,source,stratum,mid,MEL,3,1.0,0.6766169154228856,,,
resnet50_frozen,4,source,stratum,mid,LYM,1,1.0,0.3731343283582089,,,
resnet50_frozen,4,source,stratum,mid,OTH,1,0.0,0.20895522388059706,,,
resnet50_frozen,4,source,stratum,dark,KC,4,1.0,0.73046875,,,
resnet50_frozen,4,source,stratum,dark,MEL,2,1.0,0.6953125,,,
resnet50_frozen,4,source,stratum,dark,LYM,12,0.6666666666666666,0.5690104166666667,,,
resnet50_frozen,4,source,stratum,dark,OTH,1,1.0,0.890625,,,
resnet50_frozen,4,source,overall,light,,20,0.65,,all,84.0,0.46171875
resnet50_frozen,4,source,overall,mid,,30,0.7,,all,97.0,0.5746268656716418
resnet50_frozen,4,source,overall,dark,,19,0.7894736842105263,,all,83.0,0.6332236842105263
resnet50_frozen,4,source,overall,light,,19,0.631578947368421,,noLYM,83.0,0.44901315789473684
resnet50_frozen,4,source,overall,mid,,29,0.6896551724137931,,noLYM,96.0,0.5815748841996912
